Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
201,I am a developer by profession,Yes,27.0,18,,,,Pakistan,Pakistani rupee,PKR,Couchbase;Elasticsearch;Firebase;MongoDB;MySQL;PostgreSQL;Redis,Couchbase;MongoDB;PostgreSQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist;Educator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,Flex time or a flexible schedule;How widely used or impactful my work output would be;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Go;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;TypeScript,.NET Core;Flutter;Node.js;Pandas;React Native;TensorFlow;Teraform,Cordova;Node.js,"Confluence;Jira;Github;Trello;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",No,Extremely important,Very important,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Every few months,No,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,MacOS,20 to 99 employees,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS,Android;Arduino;AWS;Docker;iOS;Linux;MacOS,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Django;Express;React.js;Spring,Angular;Angular.js;Express;jQuery;Spring,Just as welcome now as I felt last year,40.0,9,4
569,I am a developer by profession,No,32.0,22,Monthly,220000.0,17124.0,Pakistan,Pakistani rupee,PKR,Firebase;MongoDB;Redis,,"Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",Slightly dissatisfied,I am actively looking for a job,JavaScript;SQL;TypeScript,HTML/CSS;JavaScript,Node.js,,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)","Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Somewhat important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family",Every few months,No,Onboarding? What onboarding?,No,Rarely: 1-2 days per year or less,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,MacOS,100 to 499 employees,MacOS,MacOS,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Express;jQuery;React.js;Vue.js,jQuery,A lot less welcome now than last year,40.0,8,6
634,I am a developer by profession,Yes,25.0,18,Monthly,2500.0,192.0,Pakistan,Pakistani rupee,PKR,Microsoft SQL Server;MySQL;SQLite,Microsoft SQL Server;MySQL;SQLite,"Academic researcher;Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",East Asian,Man,Flex time or a flexible schedule,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;Java,C#;Java,.NET,.NET,Github,Github,Not sure,Not at all important,,Better compensation;Trouble with my direct manager;Looking to relocate,Directly asking current or past employees at the company,Once every few years,Yes,Onboarding? What onboarding?,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial,Annoyed,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow,Windows,"Just me - I am a freelancer, sole proprietor, etc.",Windows,Windows,,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Easy,Too long,No,"Information systems, information technology, or system administration",ASP.NET,ASP.NET,Just as welcome now as I felt last year,42.0,6,3
763,I am a developer by profession,Yes,,15,,,,Pakistan,,,,Firebase;MySQL;SQLite,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,,Man,"Languages, frameworks, and other technologies I’d be working with",,I am actively looking for a job,C,C;HTML/CSS;Java;JavaScript;PHP;Python;SQL,,Node.js,,Github,,,,Just because,Personal network - friends or family,Every few months,,,No,,Start a free trial,"Hello, old friend",Stack Overflow Jobs (for job seekers),Watch help / tutorial videos,Windows,,,Android,,,,,,,Easy,Too short,No,"Computer science, computer engineering, or software engineering",,Laravel,,,14,
830,I am a developer by profession,Yes,25.0,22,,,,Pakistan,Pakistani rupee,PKR,Microsoft SQL Server,Microsoft SQL Server,Data scientist or machine learning specialist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,Industry that I’d be working in;Remote work options;Office environment or company culture,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Python;Scala,Python;R,Apache Spark;Hadoop;Keras;TensorFlow;Torch/PyTorch,Keras;TensorFlow,Github,Github,No,Not very important,Somewhat important,Having a bad day (or week or month) at work;Better compensation,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Directly asking current or past employees at the company",Every few months,No,Onboarding? What onboarding?,No,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,"10,000 or more employees",,,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,Mathematics or statistics,,,Just as welcome now as I felt last year,40.0,4,2
1135,I am a developer by profession,Yes,26.0,19,Monthly,,,Pakistan,Pakistani rupee,PKR,,MySQL,"Developer, desktop or enterprise applications;Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Diversity of the company or organization;Office environment or company culture;Family friendliness,Very dissatisfied,I am actively looking for a job,Kotlin;PHP;Python;Swift,C++;Java;PHP;Python,Flutter,,Jira,Github;Gitlab;Slack;Trello,No,,Critically important,Wanting to share accomplishments with a wider network;Better work/life balance,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family",Every few months,,No,Yes,Often: 1-2 days per week or more,Visit developer communities like Stack Overflow,,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow,Windows,"10,000 or more employees",iOS,Android,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per week,Multiple times per day,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Spring,Laravel,,,7,5
1174,I am a developer by profession,Yes,34.0,17,Monthly,470000.0,36576.0,Pakistan,Pakistani rupee,PKR,Microsoft SQL Server;Redis;SQLite,Firebase;Microsoft SQL Server;MySQL,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, QA or test;DevOps specialist;Educator;Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Southeast Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Family friendliness",Very satisfied,"I’m not actively looking, but I am open to new opportunities",Assembly;C;C#;HTML/CSS;JavaScript;Python;R;SQL;TypeScript,Bash/Shell/PowerShell;C#;C++;SQL;TypeScript,.NET;.NET Core;Hadoop;Node.js;Pandas;TensorFlow;Unity 3D;Unreal Engine;Xamarin,.NET;.NET Core;Unity 3D,"Confluence;Jira;Github;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",No,Extremely important,Fairly important,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,Yes,No,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,100 to 499 employees,AWS;Docker;Microsoft Azure;Raspberry Pi;Windows,Google Cloud Platform;Microsoft Azure;Windows,I have some influence,Straight / Heterosexual,Yes,Neutral,Multiple times per day,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;ASP.NET Core;Express;React.js;Vue.js,Angular;ASP.NET;ASP.NET Core,Just as welcome now as I felt last year,40.0,19,13
1515,I am a developer by profession,Yes,26.0,18,Monthly,170000.0,13224.0,Pakistan,Pakistani rupee,PKR,MongoDB,MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Opportunities for professional development;Family friendliness,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Python;Ruby,C#;HTML/CSS;JavaScript;PHP,Flutter,Node.js;React Native;Unity 3D,Stack Overflow for Teams,Github;Gitlab;Slack,Yes,Extremely important,Fairly important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,No,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Call a coworker or friend;Visit Stack Overflow;Visit another developer community (please name):,Linux-based,20 to 99 employees,,Android,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",React.js,React.js,Somewhat more welcome now than last year,12.0,3,2
1708,I am a developer by profession,Yes,27.0,20,Monthly,50000.0,3888.0,Pakistan,Pakistani rupee,PKR,Firebase;MySQL,,"Developer, front-end;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,HTML/CSS;JavaScript;TypeScript,Cordova;Flutter;Node.js;React Native,Cordova;Node.js;React Native,Github;Stack Overflow for Teams,Github,No,Neutral,Somewhat important,Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family",Once a year,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Linux-based,10 to 19 employees,Android;Docker;Heroku;iOS;Linux,Android;Heroku;iOS,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Express;jQuery;React.js;Vue.js,Angular;Angular.js;Express;jQuery,Just as welcome now as I felt last year,45.0,5,2
1856,I am a developer by profession,No,31.0,22,Monthly,150000.0,11676.0,Pakistan,Pakistani rupee,PKR,MariaDB;MongoDB;MySQL;PostgreSQL,MariaDB;MySQL,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;PHP;Python;Ruby;TypeScript,HTML/CSS;JavaScript;PHP;TypeScript,Node.js;React Native,,Github;Gitlab;Slack;Microsoft Azure;Trello,Jira;Github;Slack;Trello,No,Somewhat important,Somewhat important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Trouble with leadership at my company;Wanting to work with new technologies,"Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,Not sure,No,Yes,Often: 1-2 days per week or more,Start a free trial,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Windows,2 to 9 employees,AWS;Docker;Linux;MacOS;Windows;WordPress,AWS;Windows;WordPress,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",Angular;Express;jQuery;Laravel;React.js;Ruby on Rails;Symfony;Vue.js,Angular;Angular.js;jQuery;Laravel,Somewhat more welcome now than last year,45.0,8,7
